207.68811235123394, 199.60290291661022
810.3001616704641, 292.80090373819075
1275.9549270535063, 479.6248117212126
1632.0438652875964, 694.0914692592096
1851.1755195854985, 914.7627687251825
1988.1328035216884, 1034.5337532520898
2144.6554137344756, 1250.0224956475822
2426.3961121174925, 1521.9361906066015
2590.7448528409186, 1740.0657264138044
2755.0935935643447, 1968.670409420788
2892.0508775005346, 2124.2571545940036
3007.094996006932, 2410.105436122143
3275.531272521863, 2639.31089963029
3439.880013245289, 2839.9561823907998
3795.968951479381, 3159.2521130793093
4316.406630436899, 3092.206969738465
4716.321899530571, 2903.4232507188835
5147.280819649777, 2707.476379570041
5760.3277096498605, 2512.0576671035406
6398.157346266969, 2396.302889223608
7028.160852373438, 2265.1434831087035
7784.165059701201, 2149.2126523346587
8321.037612731061, 2108.5444337943327
9015.998002075836, 2088.2103245241697
9942.611854535537, 2130.727098452692
10616.441691501585, 2212.9878132274416
11224.532032178266, 2315.582637272355
11856.883377437925, 2461.88259228106
12492.756481427374, 2648.553676571273
13140.368781182779, 2850.9594882729225
13736.024270048109, 2999.137340818843
14321.136221975494, 3103.7604409146934
14924.726537608554, 3148.488879325523
15704.404789731, 3206.5863343831315
16313.864703247042, 3220.450499794606
16923.32461676308, 3214.673764206492
17616.915433268492, 3188.100780501165
18238.114542550495, 3155.751061207724
18943.444554821865, 3124.9418047377803
19582.578546524084, 3084.8897713268534
20277.79980688588, 3114.1585649732997
20922.477307699795, 3242.4020950294407
21518.241492822213, 3424.9469396138584
22182.484319912735, 3619.045255374505
22785.096369231964, 3703.385594960976
23442.491332125668, 3798.1240586060535
24096.951496077883, 3943.3676962500745
24743.585529519463, 4037.2809119539925
